Season,Name,Team,W,L,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,FIP,xFIP,WAR,y
2015,Clayton Kershaw,Dodgers,16,7,33,33,232.2,11.64,1.62,0.58,0.281,0.783,0.5,0.101,2.13,1.99,2.09,8.5,0
2011,Roy Halladay,Phillies,19,6,32,32,233.2,8.47,1.35,0.39,0.298,0.781,0.509,0.051,2.35,2.2,2.71,8.3,0
2009,Tim Lincecum,Giants,15,7,32,32,225.1,10.42,2.72,0.4,0.282,0.759,0.475,0.055,2.48,2.34,2.83,7.7,1
2014,Clayton Kershaw,Dodgers,21,3,27,27,198.1,10.85,1.41,0.41,0.278,0.816,0.518,0.066,1.77,1.81,2.08,7.6,1
2015,Jake Arrieta,Cubs,22,6,33,33,229,9.28,1.89,0.39,0.246,0.8,0.562,0.078,1.77,2.35,2.61,7.3,1
2008,Tim Lincecum,Giants,17,5,33,33,223,10.53,3.23,0.44,0.303,0.776,0.438,0.057,2.62,2.59,3.08,7.1,1
2011,Clayton Kershaw,Dodgers,21,5,33,33,233.1,9.57,2.08,0.58,0.269,0.786,0.432,0.067,2.28,2.47,2.84,7.1,1
2013,Clayton Kershaw,Dodgers,16,9,33,33,236,8.85,1.98,0.42,0.251,0.806,0.46,0.058,1.83,2.39,2.88,7.1,1
2011,Cliff Lee,Phillies,17,8,32,32,232.2,9.21,1.62,0.7,0.291,0.814,0.463,0.09,2.4,2.6,2.68,6.8,0
2007,Jake Peavy,Padres,19,6,34,34,223.1,9.67,2.74,0.52,0.273,0.783,0.44,0.058,2.54,2.84,3.34,6.7,1
2013,Adam Wainwright,Cardinals,19,9,34,34,241.2,8.16,1.3,0.56,0.305,0.745,0.491,0.081,2.94,2.55,2.8,6.6,0
2013,Matt Harvey,Mets,9,5,26,26,178.1,9.64,1.56,0.35,0.28,0.774,0.477,0.047,2.27,2,2.63,6.5,0
2009,Javier Vazquez,Braves,15,10,32,32,219.1,9.77,1.81,0.82,0.283,0.766,0.417,0.101,2.87,2.77,2.77,6.5,0
2015,Max Scherzer,Nationals,14,12,33,33,228.2,10.86,1.34,1.06,0.268,0.796,0.358,0.105,2.79,2.77,2.88,6.4,0
2016,Noah Syndergaard,Mets,14,9,30,30,182.2,10.64,2.12,0.54,0.335,0.769,0.512,0.087,2.61,2.3,2.68,6.3,0
2007,Brandon Webb,Diamondbacks,18,10,34,34,236.1,7.39,2.74,0.46,0.285,0.724,0.618,0.088,3.01,3.24,3.3,6.2,0
2016,Jose Fernandez,Marlins,16,8,29,29,182.1,12.49,2.71,0.64,0.332,0.766,0.402,0.1,2.86,2.3,2.56,6.2,0
2008,Dan Haren,Diamondbacks,16,8,33,33,216,8.58,1.67,0.79,0.303,0.734,0.442,0.089,3.33,3.01,3.16,6.2,0
2017,Max Scherzer,Nationals,16,6,31,31,200.2,12.02,2.47,0.99,0.245,0.807,0.365,0.108,2.51,2.9,3.28,6.1,1
2010,Roy Halladay,Phillies,21,10,33,33,250.2,7.86,1.08,0.86,0.29,0.827,0.512,0.113,2.44,3.01,2.8,6.1,1
2010,Josh Johnson,Marlins,11,6,28,28,183.2,9.11,2.35,0.34,0.297,0.792,0.457,0.042,2.3,2.41,3.02,5.9,0
2010,Ubaldo Jimenez,Rockies,19,8,33,33,221.2,8.69,3.74,0.41,0.271,0.765,0.488,0.051,2.88,3.1,3.6,5.9,0
2012,Clayton Kershaw,Dodgers,14,9,33,33,227.2,9.05,2.49,0.63,0.262,0.779,0.469,0.081,2.53,2.89,3.25,5.9,0
2015,Zack Greinke,Dodgers,19,3,32,32,222.2,8.08,1.62,0.57,0.229,0.865,0.48,0.073,1.66,2.76,3.22,5.8,0
