Season,Name,Team,W,L,ERA,GS,CG,ShO,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,SO,y
2015,Zack Greinke,Dodgers,19,3,1.66,32,1,0,222.2,843,148,43,41,14,40,1,5,7,200,0
2015,Jake Arrieta,Cubs,22,6,1.77,33,4,3,229,870,150,52,45,10,48,2,6,6,236,1
2014,Clayton Kershaw,Dodgers,21,3,1.77,27,6,2,198.1,749,139,42,39,9,31,0,2,7,239,1
2013,Clayton Kershaw,Dodgers,16,9,1.83,33,3,2,236,908,164,55,48,11,52,2,3,12,232,1
2015,Clayton Kershaw,Dodgers,16,7,2.13,33,4,3,232.2,890,163,62,55,15,42,1,5,9,301,0
2016,Kyle Hendricks,Cubs,16,8,2.15,30,2,1,188,738,142,53,45,15,43,3,8,5,169,0
2013,Jose Fernandez,Marlins,12,6,2.19,28,0,0,172.2,681,111,47,42,10,58,5,5,3,187,0
2009,Chris Carpenter,Cardinals,17,4,2.24,28,3,1,192.2,750,156,49,48,7,38,1,7,1,144,0
2014,Johnny Cueto,Reds,20,9,2.25,34,4,2,243.2,961,169,69,61,22,65,2,15,1,242,0
2013,Matt Harvey,Mets,9,5,2.27,26,1,1,178.1,690,135,46,45,7,31,1,4,2,191,0
2011,Clayton Kershaw,Dodgers,21,5,2.28,33,5,2,233.1,912,174,66,59,15,54,2,3,5,248,1
2010,Josh Johnson,Marlins,11,6,2.3,28,1,0,183.2,744,155,51,47,7,48,2,5,4,186,0
2017,Clayton Kershaw,Dodgers,18,4,2.31,27,1,0,175,679,136,49,45,23,30,0,0,4,202,0
2011,Roy Halladay,Phillies,19,6,2.35,32,8,1,233.2,933,208,65,61,10,35,4,4,2,220,0
2014,Adam Wainwright,Cardinals,20,9,2.38,32,5,3,227,898,184,64,60,10,50,5,7,4,179,0
2011,Cliff Lee,Phillies,17,8,2.4,32,6,6,232.2,920,197,66,62,18,42,0,6,0,238,0
2014,Doug Fister,Nationals,16,6,2.41,25,1,1,164,662,153,52,44,18,24,0,7,5,98,0
2010,Adam Wainwright,Cardinals,20,11,2.42,33,5,2,230.1,910,186,68,62,15,56,2,4,2,213,0
2010,Roy Halladay,Phillies,21,10,2.44,33,9,4,250.2,993,231,74,68,24,30,1,6,5,219,1
2016,Jon Lester,Cubs,19,5,2.44,32,2,0,202.2,796,154,57,55,21,52,0,6,4,197,0
2014,Cole Hamels,Phillies,9,9,2.46,30,0,0,204.2,829,176,60,56,14,59,3,8,6,198,0
2009,Tim Lincecum,Giants,15,7,2.48,32,4,2,225.1,905,168,69,62,10,68,2,6,11,261,1
2017,Max Scherzer,Nationals,16,6,2.51,31,2,0,200.2,780,126,62,56,22,55,2,11,4,268,1
2017,Stephen Strasburg,Nationals,15,4,2.52,28,1,1,175.1,701,131,55,49,13,47,5,7,3,204,0
2012,Clayton Kershaw,Dodgers,14,9,2.53,33,2,2,227.2,901,170,70,64,16,63,5,5,6,229,0
2008,Johan Santana,Mets,16,7,2.53,34,3,2,234.1,964,206,74,66,23,63,5,4,9,206,0
2007,Jake Peavy,Padres,19,6,2.54,34,0,0,223.1,898,169,67,63,13,68,5,6,4,240,1
2015,Jacob deGrom,Mets,14,8,2.54,30,0,0,191,751,149,59,54,16,38,2,2,6,205,0
2009,Jair Jurrjens,Braves,14,10,2.6,34,0,0,215,884,186,71,62,15,75,1,3,3,152,0
2015,Gerrit Cole,Pirates,19,8,2.6,32,0,0,208,832,183,71,60,11,44,1,10,7,202,0
2016,Noah Syndergaard,Mets,14,9,2.61,30,0,0,182.2,740,168,61,53,11,43,2,2,10,216,0
2008,Tim Lincecum,Giants,17,5,2.62,33,2,1,223,909,178,71,65,11,80,1,6,16,261,1
