Name,Team,W,L,ERA,GS,CG,ShO,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,SO
Jacob deGrom,Mets,10,9,1.7,32,1,0,217,835,152,48,41,10,46,3,5,2,269
Aaron Nola,Phillies,17,6,2.37,33,0,0,212.1,831,149,57,56,17,58,3,7,4,224
Max Scherzer,Nationals,18,7,2.53,33,2,1,220.2,866,150,66,62,23,51,4,12,4,300
Miles Mikolas,Cardinals,18,4,2.83,32,1,1,200.2,808,186,70,63,16,29,4,7,2,146
Kyle Freeland,Rockies,17,7,2.85,33,0,0,202.1,844,182,64,64,17,70,2,6,2,173
Mike Foltynewicz,Braves,13,10,2.85,31,2,1,183,744,130,65,58,17,68,3,6,7,202
Trevor Williams,Pirates,14,10,3.11,31,1,1,170.2,701,146,64,59,15,55,3,4,4,126
Patrick Corbin,Diamondbacks,11,7,3.15,33,1,1,200,800,162,70,70,15,48,3,5,8,246
Jameson Taillon,Pirates,14,10,3.2,32,2,1,191,785,179,69,68,20,46,4,6,2,179
Zack Greinke,Diamondbacks,15,11,3.21,33,0,0,207.2,839,181,77,74,28,43,3,6,4,199
Zack Wheeler,Mets,12,7,3.31,29,0,0,182.1,744,150,69,67,14,55,0,9,2,179
Jon Lester,Cubs,18,6,3.32,32,0,0,181.2,761,174,75,67,24,64,1,6,4,149
Kyle Hendricks,Cubs,14,11,3.44,33,0,0,199,812,184,82,76,22,44,4,9,0,161
Jhoulys Chacin,Brewers,15,8,3.5,35,0,0,192.2,796,153,83,75,18,71,3,11,5,156
German Marquez,Rockies,14,11,3.77,33,0,0,196,817,179,90,82,24,57,5,8,8,230
Sean Newcomb,Braves,12,9,3.91,30,0,0,163.1,693,137,74,71,18,80,1,1,4,159
Julio Teheran,Braves,9,9,3.94,31,0,0,175.2,724,122,80,77,26,84,3,9,2,162
Jake Arrieta,Phillies,10,11,3.96,31,0,0,172.2,724,165,93,76,21,57,0,7,11,138
Jose Urena,Marlins,9,12,3.98,31,1,0,174,712,155,78,77,19,51,8,12,2,130
Jose Quintana,Cubs,13,11,4.03,32,0,0,174.1,739,162,81,78,25,68,3,3,3,158
Ivan Nova,Pirates,9,9,4.19,29,0,0,161,683,171,82,75,26,35,4,4,9,114
Gio Gonzalez,- - -,10,11,4.21,32,0,0,171,746,167,84,80,17,80,2,2,5,148
Tanner Roark,Nationals,9,14,4.25,30,0,0,180,757,179,88,85,23,50,3,10,5,146
Luis Castillo,Reds,10,12,4.3,31,0,0,169.2,708,158,89,81,28,49,1,5,4,165
Tyler Anderson,Rockies,7,9,4.55,32,0,0,176,737,165,94,89,30,59,1,3,9,164
Zack Godley,Diamondbacks,15,11,4.77,32,0,0,177.1,786,176,103,94,16,80,2,12,17,183
Nick Pivetta,Phillies,6,14,4.8,32,0,0,163,690,163,91,87,24,50,0,5,8,187
Jon Gray,Rockies,12,9,5.12,31,0,0,172.1,743,180,102,98,27,52,1,6,6,183
