Season,Name,Team,WAR,W,ERA,IP,Strikes,L,FIP,HR,BB/9
2018,Blake Snell,Rays,4.6,21,1.89,180.2,1815,5,2.95,16,3.19
2018,Trevor Bauer,Indians,6,12,2.26,171.1,1778,6,2.44,9,2.99
2018,Justin Verlander,Astros,6.8,16,2.52,214,2364,9,2.78,28,1.56
2018,Gerrit Cole,Astros,6.3,15,2.88,200.1,2193,5,2.7,19,2.88
2018,Corey Kluber,Indians,5.6,20,2.89,215,2118,7,3.12,25,1.42
2018,Mike Clevinger,Indians,4.3,13,3.02,200,2097,8,3.52,21,3.02
2018,Carlos Carrasco,Indians,5.1,16,3.33,186.2,1927,9,2.98,21,1.88
2018,Luis Severino,Yankees,5.7,19,3.39,191.1,2116,8,2.95,19,2.16
2018,David Price,Red Sox,2.7,16,3.58,176,1776,7,4.02,25,2.56
2018,Kyle Gibson,Twins,2.8,10,3.62,196.2,1954,13,4.13,23,3.62
2018,J.A. Happ,- - -,3.2,17,3.65,177.2,1965,6,3.98,27,2.58
2018,Dallas Keuchel,Astros,3.6,12,3.74,204.2,2061,11,3.69,18,2.55
2018,Jose Berrios,Twins,3.3,12,3.84,192.1,1972,11,3.9,25,2.85
2018,Reynaldo Lopez,White Sox,2,7,3.91,188.2,1948,10,4.63,25,3.58
2018,Andrew Heaney,Angels,2.8,9,4.15,180,1823,10,3.99,27,2.25
2018,Rick Porcello,Red Sox,2.7,17,4.28,191.1,2049,7,4.01,27,2.26
2018,Mike Leake,Mariners,2.3,10,4.36,185.2,1897,10,4.14,23,1.65
2018,Jakob Junis,Royals,1.3,9,4.37,177,1837,12,4.64,32,2.19
2018,Matthew Boyd,Tigers,2,9,4.39,170.1,1809,13,4.45,27,2.69
2018,James Shields,White Sox,0.9,7,4.5,204,2000,15,5.07,34,3.35
2018,Dylan Bundy,Orioles,0.8,8,5.45,171.2,1896,16,5.17,41,2.83
2018,Lucas Giolito,White Sox,-0.2,10,6.13,173.1,1818,13,5.56,27,4.67
