Season,Name,Team,WAR,W,ERA,IP,Strikes,L,FIP,HR,BB/9,y
2015,Zack Greinke,Dodgers,5.8,19,1.66,222.2,2078,3,2.76,14,1.62,0
2015,Jake Arrieta,Cubs,7.3,22,1.77,229,2236,6,2.35,10,1.89,1
2014,Clayton Kershaw,Dodgers,7.6,21,1.77,198.1,1887,3,1.81,9,1.41,1
2013,Clayton Kershaw,Dodgers,7.1,16,1.83,236,2286,9,2.39,11,1.98,1
2015,Clayton Kershaw,Dodgers,8.5,16,2.13,232.2,2303,7,1.99,15,1.62,0
2016,Kyle Hendricks,Cubs,4.4,16,2.15,188,1868,8,3.2,15,2.06,0
2013,Jose Fernandez,Marlins,4.1,12,2.19,172.2,1732,6,2.73,10,3.02,0
2009,Chris Carpenter,Cardinals,5.5,17,2.24,192.2,1747,4,2.78,7,1.78,0
2014,Johnny Cueto,Reds,4.6,20,2.25,243.2,2380,9,3.3,22,2.4,0
2013,Matt Harvey,Mets,6.5,9,2.27,178.1,1794,5,2,7,1.56,0
2011,Clayton Kershaw,Dodgers,7.1,21,2.28,233.1,2264,5,2.47,15,2.08,1
2010,Josh Johnson,Marlins,5.9,11,2.3,183.2,1952,6,2.41,7,2.35,0
2017,Clayton Kershaw,Dodgers,4.6,18,2.31,175,1729,4,3.07,23,1.54,0
2011,Roy Halladay,Phillies,8.3,19,2.35,233.2,2382,6,2.2,10,1.35,0
2014,Adam Wainwright,Cardinals,4.9,20,2.38,227,2143,9,2.88,10,1.98,0
2011,Cliff Lee,Phillies,6.8,17,2.4,232.2,2360,8,2.6,18,1.62,0
2010,Adam Wainwright,Cardinals,5.6,20,2.42,230.1,2166,11,2.86,15,2.19,0
2010,Roy Halladay,Phillies,6.1,21,2.44,250.2,2441,10,3.01,24,1.08,1
2016,Jon Lester,Cubs,4.3,19,2.44,202.2,2027,5,3.41,21,2.31,0
2014,Cole Hamels,Phillies,4.3,9,2.46,204.2,2070,9,3.07,14,2.59,0
2009,Tim Lincecum,Giants,7.7,15,2.48,225.1,2197,7,2.34,10,2.72,1
2017,Max Scherzer,Nationals,6.1,16,2.51,200.2,2114,6,2.9,22,2.47,1
2017,Stephen Strasburg,Nationals,5.7,15,2.52,175.1,1844,4,2.72,13,2.41,0
2012,Clayton Kershaw,Dodgers,5.9,14,2.53,227.2,2234,9,2.89,16,2.49,0
2008,Johan Santana,Mets,5.3,16,2.53,234.1,2387,7,3.51,23,2.42,0
2007,Jake Peavy,Padres,6.7,19,2.54,223.1,2348,6,2.84,13,2.74,1
2015,Jacob deGrom,Mets,5.2,14,2.54,191,2037,8,2.7,16,1.79,0
2009,Jair Jurrjens,Braves,4,14,2.6,215,2115,10,3.68,15,3.14,0
2015,Gerrit Cole,Pirates,5.5,19,2.6,208,2120,8,2.66,11,1.9,0
2016,Noah Syndergaard,Mets,6.3,14,2.61,182.2,1977,9,2.3,11,2.12,0
2008,Tim Lincecum,Giants,7.1,17,2.62,223,2282,5,2.59,11,3.23,1
