Name,Team,WAR,W,ERA,IP,Strikes,L,FIP,HR,BB/9
Jacob deGrom,Mets,8.8,10,1.7,217,2213,9,1.99,10,1.91
Aaron Nola,Phillies,5.6,17,2.37,212.1,2163,6,3.01,17,2.46
Max Scherzer,Nationals,7.2,18,2.53,220.2,2406,7,2.65,23,2.08
Miles Mikolas,Cardinals,4.3,18,2.83,200.2,2081,4,3.28,16,1.3
Kyle Freeland,Rockies,4.2,17,2.85,202.1,2069,7,3.67,17,3.11
Mike Foltynewicz,Braves,3.9,13,2.85,183,1916,10,3.37,17,3.34
Trevor Williams,Pirates,2.5,14,3.11,170.2,1732,10,3.86,15,2.9
Patrick Corbin,Diamondbacks,6.3,11,3.15,200,2020,7,2.47,15,2.16
Jameson Taillon,Pirates,3.7,14,3.2,191,1967,10,3.46,20,2.17
Zack Greinke,Diamondbacks,3.5,15,3.21,207.2,2082,11,3.71,28,1.86
Zack Wheeler,Mets,4.1,12,3.31,182.1,1892,7,3.25,14,2.71
Jon Lester,Cubs,1.7,18,3.32,181.2,1920,6,4.39,24,3.17
Kyle Hendricks,Cubs,3.2,14,3.44,199,2023,11,3.78,22,1.99
Jhoulys Chacin,Brewers,2.6,15,3.5,192.2,1896,8,4.03,18,3.32
German Marquez,Rockies,4.5,14,3.77,196,2060,11,3.4,24,2.62
Julio Teheran,Braves,0.7,9,3.94,175.2,1713,9,4.83,26,4.3
Jake Arrieta,Phillies,2,10,3.96,172.2,1773,11,4.26,21,2.97
Jose Urena,Marlins,1.8,9,3.98,174,1733,12,4.17,19,2.64
Jose Quintana,Cubs,1.4,13,4.03,174.1,1794,11,4.43,25,3.51
Gio Gonzalez,- - -,2,10,4.21,171,1821,11,4.16,17,4.21
Tanner Roark,Nationals,2.2,9,4.25,180,1854,14,4.2,23,2.5
Tyler Anderson,Rockies,2,7,4.55,176,1870,9,4.57,30,3.02
Zack Godley,Diamondbacks,2.7,15,4.77,177.1,1849,11,3.83,16,4.06
Jon Gray,Rockies,2.7,12,5.12,172.1,1792,9,4.08,27,2.72
